DATA,CLIENTE,ORIGEM ,DESTINO ,KM,VEÍCULO,KM ROD,R$ MOTORISTA,R$ EMPRESA,VALOR DE NF,DIAS PAG,ICMS,CO,COMISSÃO,RENTABILIDADE,V. COM,SITUAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2026,CYA RUBBER,VIANA,BRAGANÇA PAULISTA,975,TRUCK,"5,85","R$ 5.700,00","R$ 9.700,00","R$ 100.000,00",15,"12,00%","0,00%","10,00%","15,28%"," R$  400,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 82,45", IMPOSTO," R$  630,50 ","6,50%", C.O, R$  -   , MARGEM," R$  1.482,04 ", ICMS," R$  1.164,00 ", MOVA," R$  0,00 "," R$  193,52 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,CYA RUBBER,GUARULHOS,SAO JOSE DOS CAMPOS,75,3/4,"10,80","R$ 810,00","R$ 1.490,00","R$ 50.000,00",15,"12,00%","0,00%","13,00%","16,18%"," R$  88,40 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 12,67", IMPOSTO," R$  96,85 ","6,50%", C.O, R$  -   , MARGEM," R$  241,06 ", ICMS," R$  178,80 ", MOVA," R$  0,00 "," R$  29,73 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,CYA RUBBER,GUARULHOS,GUARULHOS,9,3/4,"51,11","R$ 460,00","R$ 850,00","R$ 10.000,00",15,"12,00%","0,00%","13,00%","16,16%"," R$  50,70 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 7,23", IMPOSTO," R$  55,25 ","6,50%", C.O, R$  -   , MARGEM," R$  137,37 ", ICMS," R$  102,00 ", MOVA," R$  0,00 "," R$  16,96 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 3,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,CYA RUBBER,SAO LEOPOLDO,CAXIAS DO SUL,91,TRUCK,"13,30","R$ 1.210,00","R$ 1.840,00","R$ 50.000,00",15,"0,00%","3,50%","13,00%","15,18%"," R$  81,90 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 15,64", IMPOSTO," R$  119,60 ","6,50%", C.O," R$  64,40 ", MARGEM," R$  279,25 ", ICMS, R$  -   , MOVA," R$  0,00 "," R$  36,71 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
23/03/2026,CYA RUBBER,GUARULHOS,BOM PRINCIPIO,1.014,TOCO,"4,59","R$ 4.650,00","R$ 7.600,00","R$ 60.000,00",15,"12,00%","0,00%","7,00%","14,29%"," R$  206,50 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 64,60", IMPOSTO," R$  494,00 ","6,50%", C.O, R$  -   , MARGEM," R$  1.085,78 ", ICMS," R$  912,00 ", MOVA," R$  0,00 "," R$  151,62 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 18,00",BOLETOS + RCV," R$  17,50 "
23/03/2026,CYA RUBBER,GUARULHOS,BOM PRINCIPIO,1.014,COMPLEME,"2,23","R$ 2.260,00","R$ 4.100,00","R$ 60.000,00",15,"12,00%","0,00%","13,00%","16,83%"," R$  239,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 34,85", IMPOSTO," R$  266,50 ","6,50%", C.O, R$  -   , MARGEM," R$  690,16 ", ICMS," R$  492,00 ", MOVA," R$  0,00 "," R$  81,80 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 18,00",BOLETOS + RCV," R$  17,50 "
23/03/2026,HELIBOMBAS,ARARAQUARA,CAPINZAL,790,COMPLEME,"1,97","R$ 1.560,00","R$ 1.750,00","R$ 95.000,00",7,"12,00%","0,00%","0,00%","-12,05%", R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 14,88", IMPOSTO," R$  113,75 ","6,50%", C.O, R$  -   , MARGEM,"-R$  210,92 ", ICMS," R$  210,00 ", MOVA," R$  0,00 "," R$  16,29 ", MOVA,"0,93%", SEGURO,"0,030%","R$ 28,50",BOLETOS + RCV," R$  17,50 "
23/03/2026,CYA RUBBER,SAO LEOPOLDO,CAXIAS DO SUL,91,CARRETA,"22,64","R$ 2.060,00","R$ 3.250,00","R$ 100.000,00",15,"0,00%","0,00%","13,00%","21,05%"," R$  154,70 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 27,63", IMPOSTO," R$  211,25 ","6,50%", C.O, R$  -   , MARGEM," R$  684,09 ", ICMS, R$  -   , MOVA," R$  0,00 "," R$  64,84 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
23/03/2026,CYA RUBBER,VIANA,ITAQUAQUECETEBA,831,TRUCK,"6,08","R$ 5.050,00","R$ 8.500,00","R$ 100.000,00",15,"12,00%","0,00%","9,00%","15,03%"," R$  310,50 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 72,25", IMPOSTO," R$  552,50 ","6,50%", C.O, R$  -   , MARGEM," R$  1.277,68 ", ICMS," R$  1.020,00 ", MOVA," R$  0,00 "," R$  169,58 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
24/03/2026,ACTOS,SANTO ANDRE,PORTO ALEGRE,1.114,CARRETA LS,"9,03","R$ 10.060,00","R$ 12.400,00","R$ 170.000,00",15,"12,00%","0,00%","0,00%","-3,03%", R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 105,40", IMPOSTO," R$  806,00 ","6,50%", C.O, R$  -   , MARGEM,"-R$  375,28 ", ICMS," R$  1.488,00 ", MOVA," R$  0,00 "," R$  247,38 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 51,00",BOLETOS + RCV," R$  17,50 "
24/03/2026,CYA RUBBER,GUARULHOS,GUARULHOS,9,3/4,"51,11","R$ 460,00","R$ 850,00","R$ 30.000,00",15,"12,00%","0,00%","13,00%","15,46%"," R$  50,70 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 7,23", IMPOSTO," R$  55,25 ","6,50%", C.O, R$  -   , MARGEM," R$  131,37 ", ICMS," R$  102,00 ", MOVA," R$  0,00 "," R$  16,96 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 9,00",BOLETOS + RCV," R$  17,50 "
24/03/2026,CYA RUBBER,GUARULHOS,PINHALZINO,100,TRUCK,"11,60","R$ 1.160,00","R$ 1.900,00","R$ 50.000,00",15,"12,00%","0,00%","7,00%","13,17%"," R$  51,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 16,15", IMPOSTO," R$  123,50 ","6,50%", C.O, R$  -   , MARGEM," R$  250,15 ", ICMS," R$  228,00 ", MOVA," R$  0,00 "," R$  37,91 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
25/03/2026,UNIFORT,ITAJAI,BETIM,1.169,BITRUCK,"7,78","R$ 9.100,00","10.900,00","R$ 100.000,00",15,"3,00%","3,50%","0,00%","0,23%", R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 92,65", IMPOSTO," R$  708,50 ","6,50%", C.O," R$  381,50 ", MARGEM," R$  25,40 ", ICMS," R$  327,00 ", MOVA," R$  0,00 "," R$  217,46 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
25/03/2026,CYA RUBBER,GUARULHOS,SALTO,113,TRUCK,"11,15","R$ 1.260,00","R$ 2.200,00","R$ 80.000,00",15,"12,00%","0,00%","10,00%","15,22%"," R$  94,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 18,70", IMPOSTO," R$  143,00 ","6,50%", C.O, R$  -   , MARGEM," R$  334,91 ", ICMS," R$  264,00 ", MOVA," R$  0,00 "," R$  43,89 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 24,00",BOLETOS + RCV," R$  17,50 "
25/03/2026,TOTALFLEX,JEQUIE,LAGARTO,518,CARRETA,"8,22","R$ 4.260,00","R$ 6.122,00","R$ 390.000,00",15,"0,00%","0,00%","12,00%","15,22%"," R$  223,44 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 52,04", IMPOSTO," R$  397,93 ","6,50%", C.O, R$  -   , MARGEM," R$  931,96 ", ICMS, R$  -   , MOVA," R$  0,00 "," R$  122,13 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 117,00",BOLETOS + RCV," R$  17,50 "
26/03/2026,UNIFORT,GOIANIA,MARABA,1.490,TRUCK,"6,08","R$ 9.060,00","R$ 13.900,00","R$ 100.000,00",15,"3,00%","3,50%","10,00%","15,15%"," R$  484,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 118,15", IMPOSTO," R$  903,50 ","6,50%", C.O," R$  486,50 ", MARGEM," R$  2.106,05 ", ICMS," R$  417,00 ", MOVA," R$  0,00 "," R$  277,31 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
26/03/2026,UNIFORT,ITAJAI,SERRA,1.513,BITRUCK,"6,52","R$ 9.860,00","R$ 15.950,00","R$ 150.000,00",15,"5,60%","3,50%","10,00%","15,53%"," R$  609,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 135,58", IMPOSTO," R$  1.036,75 ","6,50%", C.O," R$  558,25 ", MARGEM," R$  2.476,52 ", ICMS," R$  893,20 ", MOVA," R$  0,00 "," R$  318,20 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
26/03/2026,UNIFORT,ITAJAI,GOIANIA,1.415,BITRUCK,"6,76","R$ 9.560,00","R$ 15.335,00","R$ 150.000,00",15,"5,60%","3,50%","10,00%","15,04%"," R$  577,50 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 130,35", IMPOSTO," R$  996,78 ","6,50%", C.O," R$  536,73 ", MARGEM," R$  2.306,46 ", ICMS," R$  858,76 ", MOVA," R$  0,00 "," R$  305,93 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
26/03/2026,ACTOS,SANTO ANDRE,BELO HORIZONTE,594,CARRETA LS,"8,86","R$ 5.260,00","R$ 7.600,00","R$ 300.000,00",15,"12,00%","0,00%","2,00%","7,41%"," R$  46,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 64,60", IMPOSTO," R$  494,00 ","6,50%", C.O, R$  -   , MARGEM," R$  563,48 ", ICMS," R$  912,00 ", MOVA," R$  0,00 "," R$  151,62 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 90,00",BOLETOS + RCV," R$  17,50 "
